Benchmark;Size;Score (ns/op)
"removeLastOccurrence";30000;117529.58977556993
"removeLastOccurrence";40000;161092.7037403516
"removeLastOccurrence";50000;208259.60466323138
"removeLastOccurrence";60000;246868.8650548933
"removeLastOccurrence";70000;293560.1209382094
"removeLastOccurrence";80000;336093.31458975334
"removeLastOccurrence";90000;381815.7115654096
"removeLastOccurrence";100000;433718.40425963415
"removeObject";10000;28526.218938316928
"removeObject";20000;67346.7955428949
"removeObject";30000;102899.9738883272
"removeObject";40000;132915.95405021138
"removeObject";50000;167279.49422437054
"removeObject";60000;214009.03884638695
"removeObject";70000;270541.7195600558
"removeObject";80000;322081.8419992437
"removeObject";90000;371008.9953128845
"removeObject";100000;466223.2679105263
"retainAll";10000;128102.04051988614
"retainAll";20000;286973.99119466473
"retainAll";30000;431169.73697803123
"retainAll";40000;586025.0662803445
"retainAll";50000;738140.6532526793
"retainAll";60000;880446.5946070916
"retainAll";70000;1043177.1664300758
"retainAll";80000;1449061.4904029586
"retainAll";90000;1336063.5610227485
"retainAll";100000;1548844.4200256679
"size";10000;27.596485574006362
"size";20000;53.877312654971725
"size";30000;50.90931115820271
"size";40000;58.16007923775239
"size";50000;52.981945873504195
"size";60000;48.47009937055117
"size";70000;54.950498058926435
"size";80000;109.29697759205958
"size";90000;62.37843806883213
"size";100000;69.75155500480575
"toArray";10000;1398.5511222130501
"toArray";20000;2861.0935433559957
"toArray";30000;4376.037520910799
"toArray";40000;5863.583907342512
"toArray";50000;7466.707188051215
"toArray";60000;9635.90995277025
"toArray";70000;13996.131793235989
"toArray";80000;15093.439230817117
"toArray";90000;13625.446179225546
"toArray";100000;14874.91020791159
"toArrayTyped";10000;6943.187192095884
"toArrayTyped";20000;13834.643781287165
"toArrayTyped";30000;19269.642026630714
"toArrayTyped";40000;25402.10688206244
"toArrayTyped";50000;31970.122012627213
"toArrayTyped";60000;39549.084902754694
"toArrayTyped";70000;45840.59735924052
"toArrayTyped";80000;54881.79428959164
"toArrayTyped";90000;61211.50851603272
"toArrayTyped";100000;77351.49309750018
"toStringBenchmark";10000;176760.31455557715
"toStringBenchmark";20000;384603.63108512206
"toStringBenchmark";30000;527794.3203685031
"toStringBenchmark";40000;745893.6839012216
"toStringBenchmark";50000;886698.9191531703
"toStringBenchmark";60000;1175695.8953464078
"toStringBenchmark";70000;1318282.400777612
"toStringBenchmark";80000;1386396.5422817923
"toStringBenchmark";90000;1598529.696816724
"toStringBenchmark";100000;1857951.8351986443
